date,rank,song,artist,last-week,peak-rank,weeks-on-board,YouTube music video link,video id
2021-11-06,69,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,,69,1,https://www.youtube.com/watch?v=Hl19px8jid0,Hl19px8jid0
2021-11-06,70,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,77,69,4,https://www.youtube.com/watch?v=CULF9lXH87w,CULF9lXH87w
2021-11-06,71,Too Easy,Gunna & Future,71,38,5,https://www.youtube.com/watch?v=fYd-esC2Iw4,fYd-esC2Iw4
2021-11-06,72,Esta Danada,Ivan Cornejo,66,61,4,https://www.youtube.com/watch?v=rBLLbgD0FsM,rBLLbgD0FsM
2021-11-06,73,Volvi,Aventura x Bad Bunny,75,22,13,https://www.youtube.com/watch?v=ayd3yWr4tqU,ayd3yWr4tqU
2021-11-06,74,Tequila Little Time,Jon Pardi,83,74,3,https://www.youtube.com/watch?v=GI6_cvAQDrM,GI6_cvAQDrM
2021-11-06,75,Whole Lotta Money,BIA Featuring Nicki Minaj,70,16,16,https://www.youtube.com/watch?v=XhpBInq5p8M,XhpBInq5p8M
2021-11-06,76,2055,Sleepy Hallow,72,51,15,https://www.youtube.com/watch?v=y1xZ_kAhjMc,y1xZ_kAhjMc
2021-11-06,77,Maybach,42 Dugg Featuring Future,85,68,5,https://www.youtube.com/watch?v=gVGRIBWy6ig,gVGRIBWy6ig
2021-11-06,78,WFM,Realestk,67,67,3,https://www.youtube.com/watch?v=2LxeMZm8pMw,2LxeMZm8pMw
2021-11-06,79,Poke It Out,Wale Featuring J. Cole,,79,1,https://www.youtube.com/watch?v=LNt6higN14I,LNt6higN14I
2021-11-06,80,Praise God,Kanye West,89,20,5,https://www.youtube.com/watch?v=9sJZOGxRxwM,9sJZOGxRxwM
2021-11-06,81,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",73,51,3,https://www.youtube.com/watch?v=NO7EtdR3Dyw,NO7EtdR3Dyw
2021-11-06,82,Freedom Was A Highway,Jimmie Allen & Brad Paisley,84,82,3,https://www.youtube.com/watch?v=pgvNtz_XXE4,pgvNtz_XXE4
2021-11-06,83,For Tonight,Giveon,88,83,4,https://www.youtube.com/watch?v=JRoam571b58,JRoam571b58
2021-11-06,84,Thot Shit,Megan Thee Stallion,82,16,20,https://www.youtube.com/watch?v=KynkMn5Hv3Q,KynkMn5Hv3Q
2021-11-06,85,Like A Lady,Lady A,99,85,3,https://www.youtube.com/watch?v=t_oMxYitTms,t_oMxYitTms
2021-11-06,86,Get Into It (Yuh),Doja Cat,86,68,12,https://www.youtube.com/watch?v=9Ko-nEYJ1GE,9Ko-nEYJ1GE
2021-11-06,87,Scorpio,Moneybagg Yo,,87,1,https://www.youtube.com/watch?v=GChxzIwyNt4,GChxzIwyNt4
2021-11-06,88,Big Energy,Latto,,88,1,https://www.youtube.com/watch?v=T8GpG8C0YzA,T8GpG8C0YzA
2021-11-06,89,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,,89,1,https://www.youtube.com/watch?v=abYaq2tWGYs,abYaq2tWGYs
2021-11-06,90,Money,Lisa,,90,1,https://www.youtube.com/watch?v=P01O1As5hLE,P01O1As5hLE
2021-11-06,91,No Friends In The Industry,Drake,87,11,8,https://www.youtube.com/watch?v=_dSN9EaQotw,_dSN9EaQotw
2021-11-06,92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92,92,2,https://www.youtube.com/watch?v=g2BzGJnNvEw,g2BzGJnNvEw
2021-11-06,93,Who's In Your Head,Jonas Brothers,96,93,3,https://www.youtube.com/watch?v=orex_wD5ths,orex_wD5ths
2021-11-06,94,In The Bible,Drake Featuring Lil Durk & Giveon,94,7,8,https://www.youtube.com/watch?v=eEdVtJW_PwE,eEdVtJW_PwE
2021-11-06,95,Just About Over You,Priscilla Block,100,95,3,https://www.youtube.com/watch?v=J1Jrp0tiRGk,J1Jrp0tiRGk
2021-11-06,96,To Be Loved By You,Parker McCollum,,96,1,https://www.youtube.com/watch?v=6FdpFu630hY,6FdpFu630hY
2021-11-06,97,Ain't Shit,Doja Cat,,24,14,https://www.youtube.com/watch?v=13MvatpPQv4,13MvatpPQv4
2021-11-06,98,Life Goes On,Oliver Tree,,91,2,https://www.youtube.com/watch?v=8F2s8ivKXNY,8F2s8ivKXNY
2021-11-06,99,Come Through,H.E.R. Featuring Chris Brown,,64,16,https://www.youtube.com/watch?v=50GjhhyfN_Q,50GjhhyfN_Q
2021-11-06,100,Nevada,YoungBoy Never Broke Again,,58,4,https://www.youtube.com/watch?v=JfGnwcf5Lt0,JfGnwcf5Lt0
